the	ART	0
and	CONJ	0
i	N	0
you	N	0
it	N	0
a	ART	0
of	PREP	0
to	TO	0
in	PREP	0
's	V	0
we	N	0
is	V	0
er	UKN	0
that	DET	0
that	CONJ	0
they	N	0
was	V	0
n't	NEG	0
to	PREP	0
erm	UKN	0
for	PREP	0
be	V	0
this	DET	0
but	CONJ	0
what	DET	0
on	PREP	1
are	V	0
do	V	1
if	CONJ	0
with	PREP	0
at	PREP	0
not	NEG	-1
he	N	0
've	V	0
have	V	0
there	UKN	0
're	V	0
would	V	0
yeah	UKN	1
or	CONJ	0
so	ADV	0
well	ADV	1
yes	UKN	1
can	V	0
that	UKN	0
one	UKN	0
just	ADV	1
which	DET	0
think	V	0
know	V	0
then	ADV	0
have	V	0
very	ADV	1
all	DET	0
were	V	0
now	ADV	0
two	UKN	0
about	PREP	0
from	PREP	0
people	N	0
them	N	0
got	V	0
there	ADV	0
your	DET	0
because	CONJ	0
did	V	0
do	V	1
an	ART	0
will	V	0
been	V	0
by	PREP	0
had	V	0
right	ADV	1
some	DET	0
up	ADV	1
'll	V	0
could	V	0
going	V	0
'm	V	0
who	N	0
has	V	0
no	UKN	-1
my	DET	0
time	N	1
three	UKN	0
as	CONJ	0
out	ADV	0
how	ADV	0
mm	UKN	0
me	N	0
mean	V	-1
oh	UKN	0
get	V	0
their	DET	0
any	DET	0
our	DET	0
so	CONJ	0
's	UKN	0
when	UKN	0
actually	ADV	0
like	PREP	1
she	N	0
other	ADJ	0
really	ADV	0
these	DET	0
here	ADV	0
way	N	0
five	UKN	0
go	V	0
does	V	0
into	PREP	0
say	V	0
those	DET	0
things	N	0
good	ADJ	1
should	V	0
us	N	0
hundred	UKN	0
four	UKN	0
something	N	0
okay	ADV	0
more	ADV	1
quite	ADV	0
his	DET	0
know	V	0
no	ART	-1
first	UKN	0
see	V	0
's	V	0
'd	V	0
thing	N	0
down	ADV	0
one	N	0
said	V	0
see	V	0
think	V	0
on	ADV	1
year	N	0
twenty	UKN	0
mhm	UKN	0
much	ADV	0
six	UKN	0
lot	N	0
point	N	0
years	N	0
get	V	0
only	ADV	0
in	UKN	0
say	V	0
Mr	N	0
want	V	0
again	ADV	0
done	V	0
also	ADV	0
make	V	0
him	N	0
sort	N	0
being	V	0
why	ADV	0
doing	V	0
ca	V	0
many	DET	1
might	V	0
as	UKN	0
right	ADJ	0
one	UKN	0
pounds	N	0
than	CONJ	0
cos	CONJ	0
take	V	0
same	DET	0
of course	ADV	0
last	UKN	0
new	ADJ	1
may	V	0
fact	N	0
still	ADV	1
na	TO	0
come	V	0
number	N	0
thank	V	1
more	DET	1
in	ADV	0
council	N	0
thousand	UKN	0
all	ADV	0
go	V	0
day	N	0
through	PREP	0
where	UKN	0
used	V	0
went	V	0
like	V	1
another	DET	0
gon	V	0
ten	UKN	0
eight	UKN	0
next	UKN	0
money	N	0
different	ADJ	0
seven	UKN	0
where	ADV	0
on	UKN	1
fifty	UKN	0
perhaps	ADV	0
anything	N	0
work	N	0
thirty	UKN	0
had	V	0
give	V	1
as	PREP	0
nine	UKN	0
nineteen	UKN	0
always	ADV	0
a	UKN	0
got	V	0
about	ADV	0
too	ADV	0
says	V	0
week	N	0
own	DET	0
saying	V	0
area	N	0
probably	ADV	0
put	V	0
never	ADV	-1
need	V	0
whether	CONJ	0
must	V	0
part	N	0
want	V	0
out of	PREP	0
end	N	0
come	V	0
between	PREP	0
'd	V	0
local	ADJ	0
government	N	0
children	N	0
getting	V	0
when	ADV	0
problem	N	0
every	ART	0
sort of	ADV	0
came	V	0
sure	ADJ	0
when	CONJ	0
else	ADV	0
even	ADV	0
today	ADV	0
off	ADV	0
question	N	0
looking	V	0
bit	N	0
old	ADJ	-1
important	ADJ	0
forty	UKN	0
as	ADV	0
let's	V	0
certainly	ADV	0
as well	ADV	0
th	UKN	0
little	ADJ	0
job	N	0
having	V	0
county	N	0
sorry	ADJ	-1
talking	V	0
its	DET	0
able	ADJ	1
great	ADJ	1
look	V	0
ninety	UKN	0
coming	V	0
school	N	0
somebody	N	0
after	PREP	0
find	V	0
c	UKN	0
obviously	ADV	0
eighty	UKN	0
big	ADJ	0
man	N	0
so that	CONJ	0
within	PREP	0
her	DET	0
against	PREP	0
side	N	0
made	V	0
policy	N	0
group	N	0
members	N	0
kind	N	1
take	V	0
life	N	1
work	V	0
days	N	0
place	N	0
tell	V	0
sixty	UKN	0
most	DET	0
moment	N	0
case	N	0
half	DET	0
put	V	0
over	PREP	0
maybe	ADV	0
house	N	0
i	UKN	0
world	N	0
thought	V	0
morning	N	0
percent	N	0
women	N	0
use	V	0
look	V	0
aye	UKN	0
problems	N	0
ask	V	0
b	UKN	0
trying	V	0
information	N	0
nothing	N	0
already	ADV	0
particular	ADJ	0
times	N	0
working	V	0
much	DET	0
business	N	0
anyway	ADV	0
report	N	0
used	V	0
everything	N	0
comes	V	0
p	UKN	0
person	N	0
given	V	0
men	N	0
road	N	0
each	DET	0
seen	V	0
idea	N	1
wo	V	0
committee	N	0
goes	V	0
at all	ADV	0
before	CONJ	0
together	ADV	0
to	UKN	0
up	UKN	1
whatever	DET	0
taken	V	0
service	N	1
her	N	0
everybody	N	0
whole	ADJ	1
away	ADV	0
party	N	0
country	N	0
twelve	UKN	0
anybody	N	0
John	N	0
system	N	0
like	V	1
gone	V	0
ago	ADV	0
said	V	0
difficult	ADJ	0
water	N	1
need	V	0
situation	N	0
night	N	0
under	PREP	0
second	UKN	0
ever	ADV	0
view	N	0
without	PREP	0
please	ADV	1
a few	DET	0
nice	ADJ	1
most	ADV	0
remember	V	0
make	V	0
minutes	N	0
national	ADJ	0
war	N	0
long	ADJ	0
police	N	0
rather	ADV	0
o	UKN	0
e	UKN	0
name	N	0
try	V	0
small	ADJ	0
s	UKN	0
start	V	1
only	ADJ	0
months	N	0
took	V	0
words	N	0
seventy	UKN	0
land	N	0
home	N	0
better	ADJ	1
such	DET	0
ah	UKN	0
York	N	0
back	N	0
indeed	ADV	0
am	V	0
word	N	0
after	UKN	0
reason	N	1
keep	V	0
making	V	0
a bit	ADV	0
yet	ADV	0
over	ADV	0
therefore	ADV	0
certain	ADJ	1
wanted	V	0
i	UKN	0
help	V	1
taking	V	0
sense	N	0
s	UKN	0
million	UKN	0
far	ADV	0
give	V	1
feel	V	0
health	N	1
put	V	0
particularly	ADV	0
development	N	0
often	ADV	0
enough	ADV	1
seems	V	0
round	ADV	0
line	N	0
paper	N	0
ones	N	0
in terms of	PREP	0
areas	N	0
although	CONJ	0
before	PREP	0
got	UKN	0
services	N	0
t	UKN	0
m	UKN	0
during	PREP	0
hand	N	0
a	UKN	0
best	ADJ	1
believe	V	0
called	V	0
aha	UKN	0
possible	ADJ	0
young	ADJ	1
exactly	ADV	0
full	ADJ	0
alright	ADV	0
office	N	0
about	UKN	0
sometimes	ADV	0
company	N	0
course	N	0
talk	V	0
using	V	0
pound	N	0
over	ADV	0
a lot	N	0
off	UKN	0
family	N	1
questions	N	0
union	N	0
pay	V	0
over	UKN	0
plan	N	0
british	ADJ	0
meeting	N	0
book	N	0
community	N	1
car	N	0
let	V	0
level	N	0
staff	N	0
remember	V	0
means	V	0
bad	ADJ	-1
absolutely	ADV	1
find	V	0
x	UKN	0
position	N	0
both	DET	0
motion	N	0
forward	ADV	0
shall	V	0
up to	PREP	0
authority	N	0
happy	ADJ	1
fifteen	UKN	0
interest	N	1
general	ADJ	0
w	UKN	0
hours	N	0
public	ADJ	0
mean	V	-1
because of	PREP	0
C	N	0
God	N	0
'	UKN	0
wrong	ADJ	0
less	ADV	0
interesting	ADJ	1
move	V	0
power	N	1
couple	N	0
centre	N	0
suppose	V	0
g	UKN	0
issue	N	0
trade	N	0
room	N	0
weeks	N	0
amount	N	0
yourself	N	0
schools	N	0
page	N	0
either	ADV	0
themselves	N	0
happen	V	0
started	V	0
fine	ADJ	1
happens	V	0
concerned	ADJ	0
child	N	0
clear	ADJ	0
social	ADJ	0
at least	ADV	0
education	N	1
clearly	ADV	0
look	N	0
down	UKN	0
stage	N	0
third	UKN	0
main	ADJ	0
later	ADV	0
hope	V	1
stuff	N	0
programme	N	0
city	N	0
period	N	0
d	UKN	0
real	ADJ	1
true	ADJ	1
basically	ADV	0
come	V	0
thinking	V	0
for example	ADV	0
across	PREP	0
someone	N	0
budget	N	0
towards	PREP	0
high	ADJ	0
before	UKN	0
fairly	ADV	0
management	N	0
i	UKN	0
both	ADV	0
feel	V	0
large	ADJ	0
use	V	0
councillor	N	0
better	ADV	1
available	ADJ	0
form	N	0
almost	ADV	0
off	PREP	0
difference	N	0
call	V	0
once	ADV	0
labour	ADJ	0
major	ADJ	1
market	N	0
figures	N	0
plus	PREP	0
answer	N	0
while	CONJ	0
home	ADV	0
various	ADJ	0
special	ADJ	1
points	N	0
made	V	0
others	N	0
father	N	0
hour	N	0
jobs	N	0
fire	N	0
cost	N	0
tell	V	0
itself	N	0
simply	ADV	0
district	N	0
traffic	N	0
try	V	0
matter	N	0
Mrs	N	0
month	N	0
bring	V	0
shop	N	0
putting	V	0
decision	N	0
ways	N	0
thanks	N	0
secretary	N	0
basis	N	0
settlement	N	0
actual	ADJ	0
order	N	1
makes	V	0
type	N	0
eighteen	UKN	0
further	ADV	0
London	N	0
town	N	0
somewhere	ADV	0
mind	N	0
saw	V	0
knew	V	0
until	CONJ	0
call	V	0
state	N	0
quality	N	0
Oxford	N	0
long	ADV	0
door	N	0
experience	N	1
myself	N	0
parents	N	0
away	ADV	0
r	UKN	0
need	N	0
n	UKN	0
mother	N	0
department	N	0
numbers	N	0
o'clock	ADV	0
write	V	0
rest	N	1
open	ADJ	1
sir	N	0
told	V	0
officers	N	0
list	N	0
a bit	N	0
gave	V	0
understand	V	1
keep	V	0
put	V	0
h	UKN	0
gets	V	0
eleven	UKN	0
as far as	CONJ	0
heard	V	0
f	UKN	0
price	N	0
change	V	1
afternoon	N	0
action	N	1
nobody	N	-1
minute	N	0
letter	N	0
age	N	0
table	N	0
aware	ADJ	1
Chairman	N	0
through	ADV	0
though	ADV	0
ought	V	0
society	N	0
figure	N	0
effect	N	0
out	UKN	0
term	N	0
leave	V	0
anyone	N	0
member	N	0
David	N	0
around	ADV	0
structure	N	0
body	N	0
wants	V	0
support	N	1
building	N	0
stop	V	0
section	N	0
usually	ADV	0
process	N	0
asking	V	0
law	N	0
k	UKN	0
P	N	0
okay	ADJ	0
tax	N	0
Jesus	N	0
evidence	N	0
through	UKN	0
involved	ADJ	1
fourteen	UKN	0
groups	N	0
wife	N	0
giving	V	1
made	UKN	0
few	DET	0
takes	V	0
chance	N	0
that	ADV	0
team	N	1
and so on	ADV	0
alright	ADJ	0
u	UKN	0
rather than	PREP	0
easy	ADJ	1
hear	V	0
financial	ADJ	0
about	ADV	0
upon	PREP	0
rate	N	0
around	PREP	0
issues	N	0
free	ADJ	1
industry	N	0
gives	V	0
ta	TO	0
likely	ADJ	0
start	V	1
possibly	ADV	0
looks	V	0
class	N	0
where	CONJ	0
scheme	N	0
project	N	0
news	N	0
change	N	1
terms	N	0
street	N	0
work	UKN	0
single	ADJ	0
unless	CONJ	0
site	N	0
colleagues	N	0
Britain	N	0
training	N	0
authorities	N	0
minus	PREP	0
show	V	0
work	V	0
statement	N	0
reasons	N	0
round	UKN	0
opportunity	N	1
income	N	0
result	N	0
lots	N	0
training	UKN	0
North	N	0
written	V	0
evening	N	0
sorts	N	0
head	N	0
political	ADJ	0
phone	N	0
example	N	0
court	N	0
agree	V	1
doctor	N	0
asked	V	0
understand	V	1
companies	N	0
care	N	1
tomorrow	ADV	0
simple	ADJ	1
woman	N	0
read	V	0
since	CONJ	0
everyone	N	0
buy	V	0
along	ADV	0
european	ADJ	0
ask	V	0
environment	N	0
sixteen	UKN	0
piece	N	0
y	UKN	0
tonight	ADV	0
normally	ADV	0
let	V	0
B	N	0
church	N	0
thirteen	UKN	0
right	UKN	0
item	N	0
food	N	1
client	N	0
trouble	N	0
conference	N	0
necessary	ADJ	0
earlier	ADV	0
yesterday	ADV	0
t	UKN	0
needs	V	0
half	N	0
extra	ADJ	1
Yorkshire	N	0
safety	N	1
provide	V	0
onto	PREP	0
quickly	ADV	0
round	PREP	0
as to	PREP	0
use	N	0
known	V	0
role	N	0
other	UKN	0
cases	N	0
story	N	0
behind	PREP	0
Greater	N	0
short	ADJ	0
houses	N	0
congress	N	0
speak	V	0
however	ADV	0
ideas	N	0
history	N	0
friends	N	0
president	N	0
believe	V	0
pressure	N	0
positive	ADJ	0
whole	N	1
like	ADV	1
game	N	0
current	ADJ	0
found	V	0
places	N	0
workers	N	0
value	N	1
before	ADV	0
air	N	1
Lord	N	0
employment	N	0
needs	N	0
based	V	0
nature	N	0
appropriate	ADJ	0
sales	N	0
straight	ADV	0
Friday	N	0
poor	ADJ	-1
language	N	0
ground	N	0
slightly	ADV	0
advice	N	0
deal	V	0
live	V	1
size	N	0
central	ADJ	0
per	PREP	0
Europe	N	0
account	N	0
per cent	N	0
changes	N	0
flats	N	0
meet	V	0
region	N	0
sector	N	0
product	N	0
pretty	ADV	1
ourselves	N	0
hello	UKN	1
run	V	0
similar	ADJ	0
resources	N	0
hospital	N	0
black	ADJ	0
application	N	0
normal	ADJ	0
hands	N	0
knows	V	0
higher	ADJ	0
used	V	0
computer	N	0
completely	ADV	0
